Feature,Coefficient,Absolute_Importance
tenure,-1.3558173754760574,1.3558173754760574
Contract_Two year,-1.3512252300477383,1.3512252300477383
InternetService_Fiber optic,1.1216852841962537,1.1216852841962537
Contract_One year,-0.7434890882206746,0.7434890882206746
TotalCharges,0.6418107905514943,0.6418107905514943
PhoneService_Yes,-0.5229467656627531,0.5229467656627531
MonthlyCharges,-0.44517393319998677,0.44517393319998677
PaymentMethod_Electronic check,0.3862863604754743,0.3862863604754743
StreamingTV_Yes,0.3748804916464638,0.3748804916464638
OnlineSecurity_Yes,-0.37081950635373057,0.37081950635373057
MultipleLines_Yes,0.36267958446577525,0.36267958446577525
StreamingMovies_Yes,0.3476007013970582,0.3476007013970582
TechSupport_Yes,-0.3297419402097308,0.3297419402097308
PaperlessBilling_Yes,0.29072279960594194,0.29072279960594194
Dependents_Yes,-0.23184202225865533,0.23184202225865533
SeniorCitizen,0.19536258390471145,0.19536258390471145
MultipleLines_No phone service,-0.18323376742826428,0.18323376742826428
InternetService_No,-0.16805568631873102,0.16805568631873102
DeviceProtection_No internet service,-0.16805568631873102,0.16805568631873102
StreamingMovies_No internet service,-0.16805568631873102,0.16805568631873102
OnlineSecurity_No internet service,-0.16805568631873102,0.16805568631873102
OnlineBackup_No internet service,-0.16805568631873102,0.16805568631873102
StreamingTV_No internet service,-0.16805568631873102,0.16805568631873102
TechSupport_No internet service,-0.16805568631873102,0.16805568631873102
OnlineBackup_Yes,-0.12696096755729286,0.12696096755729286
PaymentMethod_Mailed check,0.07696927243422542,0.07696927243422542
DeviceProtection_Yes,0.07376440860538899,0.07376440860538899
PaymentMethod_Credit card (automatic),0.04248035970094754,0.04248035970094754
Partner_Yes,-0.026150581884804534,0.026150581884804534
gender_Male,-0.025018449024092795,0.025018449024092795
